date,open,high,low,close,adjusted close,volume,symbol,company
1/2/2019,154.89,158.85,154.23,157.92,38.37982003,37039737,AAPL,Apple Inc
1/3/2019,143.98,145.72,142,142.19,34.55690609,91312195,AAPL,Apple Inc
1/4/2019,144.53,148.55,143.8,148.26,36.03211828,58607070,AAPL,Apple Inc
1/7/2019,148.7,148.83,145.9,147.93,35.95191728,54777764,AAPL,Apple Inc
1/8/2019,149.56,151.82,148.52,150.75,36.63727121,41025314,AAPL,Apple Inc
1/9/2019,151.29,154.53,149.63,153.31,37.25943648,45099081,AAPL,Apple Inc
1/10/2019,152.5,153.97,150.86,153.8,37.3785228,35780670,AAPL,Apple Inc
1/11/2019,152.88,153.7,151.51,152.29,37.01154251,27023241,AAPL,Apple Inc
1/14/2019,150.85,151.27,149.22,150,36.45499623,32439186,AAPL,Apple Inc
1/15/2019,150.27,153.39,150.05,153.07,37.20110849,28710324,AAPL,Apple Inc
1/16/2019,153.08,155.88,153,154.94,37.65558077,30569706,AAPL,Apple Inc
1/17/2019,154.2,157.66,153.26,155.86,37.87917142,29821160,AAPL,Apple Inc
1/18/2019,157.5,157.88,155.98,156.82,38.11248339,33751023,AAPL,Apple Inc
1/22/2019,156.41,156.73,152.62,153.3,37.25700615,30393970,AAPL,Apple Inc
1/23/2019,154.15,155.14,151.7,153.92,37.4076868,23130570,AAPL,Apple Inc
1/24/2019,154.11,154.48,151.74,152.7,37.11118616,25441549,AAPL,Apple Inc
1/25/2019,155.48,158.13,154.32,157.76,38.3409347,33547893,AAPL,Apple Inc
1/28/2019,155.79,156.33,153.66,156.3,37.98610607,26192058,AAPL,Apple Inc
1/29/2019,156.25,158.13,154.11,154.68,37.59239211,41587239,AAPL,Apple Inc
1/30/2019,163.25,166.15,160.23,165.25,40.16125418,61109780,AAPL,Apple Inc
1/31/2019,166.11,169,164.56,166.44,40.45046382,40739649,AAPL,Apple Inc
2/1/2019,166.96,168.98,165.93,166.52,40.46990648,32668138,AAPL,Apple Inc
2/4/2019,167.41,171.66,167.28,171.25,41.61945403,31495582,AAPL,Apple Inc
2/5/2019,172.86,175.08,172.35,174.18,42.33154162,36101628,AAPL,Apple Inc
2/6/2019,174.65,175.57,172.85,174.24,42.34612362,28239591,AAPL,Apple Inc
2/7/2019,172.4,173.94,170.34,170.94,41.54411371,31741690,AAPL,Apple Inc
2/8/2019,168.99,170.66,168.42,170.41,41.59272037,23819966,AAPL,Apple Inc
2/11/2019,171.05,171.21,169.25,169.43,41.35352745,20993425,AAPL,Apple Inc
2/12/2019,170.1,171,169.7,170.89,41.70987608,22283523,AAPL,Apple Inc
2/13/2019,171.39,172.48,169.92,170.18,41.53658325,22490233,AAPL,Apple Inc
